--0.0--i.e.-0/246158056----time (s)-0.0
--0.00020312152611409964--i.e.-50000/246158056----time (s)-2.55
--0.0004062430522281993--i.e.-100000/246158056----time (s)-5.33
--0.0006093645783422989--i.e.-150000/246158056----time (s)-8.29
--0.0008124861044563986--i.e.-200000/246158056----time (s)-11.45
--0.0010156076305704981--i.e.-250000/246158056----time (s)-14.5
--0.0012187291566845978--i.e.-300000/246158056----time (s)-17.44
--0.0014218506827986975--i.e.-350000/246158056----time (s)-20.68
--0.0016249722089127971--i.e.-400000/246158056----time (s)-23.66
--0.0018280937350268968--i.e.-450000/246158056----time (s)-27.08
--0.0020312152611409963--i.e.-500000/246158056----time (s)-30.71
--0.002234336787255096--i.e.-550000/246158056----time (s)-33.66
--0.0024374583133691956--i.e.-600000/246158056----time (s)-36.93
--0.002640579839483295--i.e.-650000/246158056----time (s)-39.92
--0.002843701365597395--i.e.-700000/246158056----time (s)-42.87
--0.0030468228917114944--i.e.-750000/246158056----time (s)-45.96
--0.0032499444178255943--i.e.-800000/246158056----time (s)-48.96
--0.0034530659439396937--i.e.-850000/246158056----time (s)-51.79
--0.0036561874700537936--i.e.-900000/246158056----time (s)-54.76
--0.003859308996167893--i.e.-950000/246158056----time (s)-57.87
--0.0040624305222819925--i.e.-1000000/246158056----time (s)-60.7
--0.004265552048396092--i.e.-1050000/246158056----time (s)-63.43
--0.004468673574510192--i.e.-1100000/246158056----time (s)-66.3
--0.004671795100624291--i.e.-1150000/246158056----time (s)-69.0
--0.004874916626738391--i.e.-1200000/246158056----time (s)-71.78
--0.005078038152852491--i.e.-1250000/246158056----time (s)-74.43
--0.00528115967896659--i.e.-1300000/246158056----time (s)-77.33
--0.00548428120508069--i.e.-1350000/246158056----time (s)-80.08
--0.00568740273119479--i.e.-1400000/246158056----time (s)-83.07
--0.00589052425730889--i.e.-1450000/246158056----time (s)-85.75
--0.006093645783422989--i.e.-1500000/246158056----time (s)-88.5
--0.006296767309537089--i.e.-1550000/246158056----time (s)-91.5
--0.0064998888356511885--i.e.-1600000/246158056----time (s)-94.44
--0.0067030103617652876--i.e.-1650000/246158056----time (s)-97.3
--0.0069061318878793874--i.e.-1700000/246158056----time (s)-100.15
--0.007109253413993487--i.e.-1750000/246158056----time (s)-103.01
--0.007312374940107587--i.e.-1800000/246158056----time (s)-105.92
--0.007515496466221686--i.e.-1850000/246158056----time (s)-108.93
--0.007718617992335786--i.e.-1900000/246158056----time (s)-111.85
--0.007921739518449886--i.e.-1950000/246158056----time (s)-114.76
--0.008124861044563985--i.e.-2000000/246158056----time (s)-117.61
--0.008327982570678086--i.e.-2050000/246158056----time (s)-120.19
--0.008531104096792185--i.e.-2100000/246158056----time (s)-123.32
--0.008734225622906284--i.e.-2150000/246158056----time (s)-126.38
--0.008937347149020385--i.e.-2200000/246158056----time (s)-129.48
--0.009140468675134484--i.e.-2250000/246158056----time (s)-132.34
--0.009343590201248583--i.e.-2300000/246158056----time (s)-135.21
--0.009546711727362683--i.e.-2350000/246158056----time (s)-138.11
--0.009749833253476782--i.e.-2400000/246158056----time (s)-141.15
--0.009952954779590881--i.e.-2450000/246158056----time (s)-144.08
--0.010156076305704982--i.e.-2500000/246158056----time (s)-147.03
--0.010359197831819081--i.e.-2550000/246158056----time (s)-150.07
--0.01056231935793318--i.e.-2600000/246158056----time (s)-153.21
--0.010765440884047281--i.e.-2650000/246158056----time (s)-155.79
--0.01096856241016138--i.e.-2700000/246158056----time (s)-158.43
--0.011171683936275479--i.e.-2750000/246158056----time (s)-161.32
--0.01137480546238958--i.e.-2800000/246158056----time (s)-164.13
--0.011577926988503679--i.e.-2850000/246158056----time (s)-167.27
--0.01178104851461778--i.e.-2900000/246158056----time (s)-170.06
--0.011984170040731879--i.e.-2950000/246158056----time (s)-172.74
--0.012187291566845978--i.e.-3000000/246158056----time (s)-175.52
--0.012390413092960078--i.e.-3050000/246158056----time (s)-178.56
--0.012593534619074177--i.e.-3100000/246158056----time (s)-182.1
--0.012796656145188276--i.e.-3150000/246158056----time (s)-184.92
